66.5,0.11,-0.189,-0.112,0.747,-0.256,0.93,-0.271,-0.144,0.4
67,0.115,0.125,0.231,0.661,0.0764,1.39,-0.0668,-0.471,-0.126
67.5,0.114,0.36,0.117,0.661,0.408,1.16,-0.271,-0.471,-0.231
68,0.107,0.753,0.231,0.575,0.541,0.93,-0.0668,-0.471,0.19
68.5,0.116,0.753,0.461,0.661,0.74,0.93,-0.169,-0.471,-0.126
69,0.108,0.596,0.231,0.575,0.342,0.475,0.137,-0.144,-0.231
69.5,0.115,0.831,0.231,0.489,0.475,0.475,0.545,1.16,0.0846
70,0.111,0.831,0.117,0.575,0.342,0.93,0.545,1.49,0.0846
70.5,0.106,0.596,-0.227,0.661,0.209,1.39,0.748,1.49,-0.0206
71,0.109,0.203,-0.342,1,-0.0564,1.39,0.646,1.49,-0.0206
71.5,0.109,0.125,-0.227,0.832,-0.388,1.39,0.952,2.14,-0.0206
72,0.105,0.203,0.00229,0.918,-0.322,1.39,0.748,2.14,-0.0206
72.5,0.108,0.0464,-0.112,0.918,-0.455,1.16,0.443,0.836,-0.442
73,0.0996,-0.189,-0.112,1.09,-0.654,0.475,0.239,0.509,-0.336
73.5,0.105,-0.11,-0.112,1.09,-0.72,0.247,-0.0668,0.509,0.0846
74,0.112,-0.267,0.00229,0.832,-0.853,0.0194,0.137,0.836,-0.0206
74.5,0.12,-0.267,-0.227,0.575,-0.853,0.0194,-0.0668,0.182,-0.126
75,0.121,-0.267,-0.227,0.661,-0.853,0.0194,-0.373,-0.144,0.0846
75.5,0.127,-0.189,0.00229,1.18,-0.72,0.475,-0.373,0.182,0.19
76,0.126,-0.189,-0.112,0.918,-0.455,0.247,-0.169,0.182,0.295
76.5,0.128,-0.189,0.117,0.832,-0.322,0.0194,-0.0668,0.509,-0.126
77,0.115,-0.032,-0.112,0.575,0.209,0.0194,-0.0668,0.182,-0.231
77.5,0.119,-0.032,-0.112,0.661,0.541,0.0194,0.0351,0.182,-0.336
78,0.104,-0.11,-0.342,0.661,0.674,0.0194,0.239,0.509,-0.547
78.5,0.0985,-0.11,-0.456,0.232,0.94,-0.208,0.545,0.509,-0.231
79,0.0984,-0.189,-0.571,0.318,0.94,0.247,0.341,0.836,-0.126
79.5,0.112,-0.032,-0.456,0.146,0.873,0.247,0.443,0.836,0.0846
80,0.113,-0.11,-0.456,0.318,0.674,0.702,0.0351,1.16,0.295
80.5,0.119,-0.11,-0.456,0.661,0.342,1.16,-0.271,1.16,0.4
81,0.123,-0.032,-0.112,0.575,0.209,1.39,-0.169,1.16,0.716
81.5,0.121,-0.032,-0.112,0.404,0.0764,1.16,-0.474,0.836,0.716
82,0.13,-0.032,0.00229,0.232,0.209,1.39,-0.271,0.836,0.4
82.5,0.123,-0.346,-0.227,0.0606,0.541,1.84,-0.373,0.509,0.0846
83,0.109,-0.346,-0.112,-0.111,0.541,1.61,0.0351,1.16,-0.231
83.5,0.116,-0.424,0.00229,-0.368,0.873,1.39,0.137,1.16,0.0846
84,0.113,-0.503,-0.227,-0.283,1.07,1.39,-0.271,0.836,-0.231
84.5,0.11,-0.503,-0.342,-0.111,0.873,2.07,0.0351,1.16,-0.336
85,0.108,-0.581,-0.227,0.318,0.94,1.39,-0.169,1.49,-0.336
